WarNum,deaths,WDuratDays,Outcome,Americas,WarTypeD,side,Init
554.5,-9,24,1,Not in Americas,Civil War: Local Issues,B,1
555,2500,124,1,Americas,Civil War: Central Control,B,1
555.8,-9,48,2,Not in Americas,Civil War: Local Issues,B,0
556,2000,175,3,Not in Americas,Civil War: Local Issues,B,0
557,-9,437,2,Americas,Civil War: Central Control,B,1
557.1,-9,93,1,Not in Americas,Civil War: Local Issues,B,1
557.2,-9,121,1,Not in Americas,Civil War: Local Issues,B,1
557.3,600,226,2,Americas,Civil War: Central Control,B,1
557.8,1000,34,1,Americas,Civil War: Central Control,B,1
557.9,500,211,1,Not in Americas,Civil War: Local Issues,B,1
558,1000,101,1,Americas,Civil War: Central Control,B,1
560,2000,488,1,Americas,Civil War: Central Control,B,1
561,-9,1038,2,Americas,Civil War: Central Control,B,1
562,400,11,2,Not in Americas,Civil War: Local Issues,B,0
562.5,-9,128,1,Americas,Civil War: Central Control,B,1
563,10000,1534,2,Americas,Civil War: Central Control,B,1
565,-9,952,2,Americas,Civil War: Central Control,B,1
566,1000,47,2,Not in Americas,Other,B,0
567,-9,1905,1,Not in Americas,Civil War: Central Control,B,1
568,-9,2812,1,Not in Americas,Civil War: Local Issues,B,0
570,-9,4341,1,Not in Americas,Civil War: Local Issues,B,1
571,-9,4870,1,Not in Americas,Civil War: Local Issues,B,1
572,258000,1470,1,Americas,Civil War: Local Issues,B,1
573,-9,212,2,Americas,Civil War: Central Control,B,1
575,2000,346,3,Not in Americas,Civil War: Local Issues,B,0
576,-9,4144,1,Not in Americas,Civil War: Local Issues,B,1
577,513,43,1,Americas,Other,B,1
578,-9,44,1,Americas,Civil War: Central Control,B,1
579,6500,448,1,Not in Americas,Civil War: Local Issues,B,1
580,-9,223,1,Americas,Civil War: Central Control,B,0
580.5,6587,227,7,Not in Americas,Civil War: Local Issues,B,0
581,-9,331,1,Not in Americas,Civil War: Local Issues,B,1
582,-9,668,2,Not in Americas,Civil War: Local Issues,B,1
582.3,1300,194,1,Not in Americas,Civil War: Central Control,B,1
582.5,-9,361,1,Americas,Civil War: Central Control,B,1
583,-9,843,1,Not in Americas,Civil War: Local Issues,B,1
585,-9,15,1,Not in Americas,Civil War: Local Issues,B,1
586,-9,337,1,Americas,Civil War: Central Control,B,0
586.5,-9,31,1,Not in Americas,Other,B,0
587,1000,136,2,Americas,Civil War: Central Control,B,1
587.8,-9,231,2,Americas,Civil War: Central Control,B,1
588,5400,511,1,Not in Americas,Civil War: Central Control,B,0
591,800,12,2,Not in Americas,Civil War: Central Control,B,1
592,-9,391,2,Americas,Civil War: Central Control,B,1
592.5,-9,983,2,Americas,Civil War: Central Control,B,1
592.7,-9,301,1,Not in Americas,Other,B,1
593,1300,294,1,Americas,Civil War: Local Issues,B,0
595,-9,77,2,Americas,Civil War: Central Control,B,0
596,20500,72,1,Not in Americas,Civil War: Central Control,B,0
596.7,-9,241,1,Not in Americas,Other,B,1
597,43000,1388,1,Not in Americas,Civil War: Central Control,B,1
597.5,1500,233,1,Americas,Civil War: Local Issues,B,0
598,-9,175,1,Not in Americas,Civil War: Local Issues,B,0
600,-9,74,1,Americas,Civil War: Central Control,B,0
601,13000,360,4,Not in Americas,Civil War: Local Issues,B,0
602,1200,309,2,Americas,Civil War: Central Control,B,1
603,-9,618,1,Not in Americas,Civil War: Local Issues,B,0
605,2070,265,1,Americas,Civil War: Central Control,B,1
606,-9,109,2,Americas,Civil War: Central Control,B,1
607,7000,236,1,Not in Americas,Civil War: Central Control,B,0
608,1500,213,1,Americas,Civil War: Local Issues,B,0
609,-9,41,2,Americas,Civil War: Central Control,B,1
610,825,11,1,Americas,Civil War: Local Issues,B,1
610.5,6500,393,4,Not in Americas,Civil War: Local Issues,B,1
611,400,282,1,Americas,Civil War: Central Control,B,1
612,820,333,1,Americas,Civil War: Central Control,B,1
613,2000,70,1,Americas,Civil War: Local Issues,B,1
616,-9,811,1,Not in Americas,Civil War: Local Issues,B,1
616.5,-9,4,1,Americas,Civil War: Central Control,B,1
617,-9,233,2,Americas,Civil War: Central Control,B,1
618,10000,36,1,Not in Americas,Civil War: Central Control,B,0
619,-9,206,2,Americas,Civil War: Central Control,B,1
620,-9,570,1,Americas,Civil War: Central Control,B,1
621,-9,221,1,Americas,Civil War: Central Control,B,1
623,500,78,3,Not in Americas,Civil War: Local Issues,B,0
625,-9,146,2,Americas,Civil War: Central Control,B,1
626,-9,47,1,Americas,Civil War: Central Control,B,1
627,-9,221,2,Americas,Civil War: Central Control,B,1
628,-9,374,1,Not in Americas,Civil War: Local Issues,B,1
630,4000,272,1,Not in Americas,Civil War: Local Issues,B,0
630.2,500,99,3,Not in Americas,Civil War: Local Issues,B,0
631,-9,335,4,Not in Americas,Civil War: Local Issues,B,1
631.5,-9,88,1,Americas,Civil War: Central Control,B,1
632,10000,365,1,Americas,Civil War: Local Issues,B,0
632.3,-9,118,1,Americas,Civil War: Central Control,B,1
632.6,4000,421,7,Not in Americas,Civil War: Local Issues,B,1
633,800,141,2,Americas,Civil War: Central Control,B,1
635,1100,178,1,Americas,Civil War: Local Issues,B,1
636,53000,1115,1,Americas,Civil War: Central Control,B,1
637,-9,560,1,Americas,Civil War: Local Issues,B,0
638,-9,573,1,Americas,Civil War: Central Control,B,1
639,15000,1472,6,Not in Americas,Civil War: Local Issues,B,1
640,1500,395,1,Not in Americas,Civil War: Local Issues,B,1
641,700,250,1,Americas,Civil War: Central Control,B,1
641.5,600,140,3,Not in Americas,Civil War: Local Issues,B,0
643,3000,340,1,Not in Americas,Civil War: Central Control,B,0
645,-9,45,1,Not in Americas,Civil War: Central Control,B,1
646,800,366,2,Not in Americas,Civil War: Central Control,B,1
647,-9,385,2,Not in Americas,Civil War: Central Control,B,0
647.5,3000,702,6,Not in Americas,Civil War: Local Issues,B,0
648,-9,34,1,Not in Americas,Civil War: Central Control,B,1
649,-9,311,2,Americas,Civil War: Central Control,B,1
650,-9,932,4,Not in Americas,Civil War: Local Issues,B,1
650.8,1000,58,1,Not in Americas,Civil War: Local Issues,B,0
652,60022,1240,2,Americas,Civil War: Central Control,B,0
656,1000,206,2,Americas,Civil War: Central Control,B,1
657,2000,68,3,Not in Americas,Civil War: Central Control,B,1
657.3,-9,12,1,Americas,Civil War: Central Control,B,1
658,1000,59,1,Americas,Civil War: Local Issues,B,1
665,-9,50,1,Not in Americas,Civil War: Local Issues,B,0
667,-9,1071,1,Americas,Civil War: Central Control,B,1
672,-9,143,1,Not in Americas,Civil War: Local Issues,B,1
672.5,6000,481,1,Americas,Civil War: Local Issues,B,0
673,60000,2066,1,Americas,Civil War: Central Control,B,1
674,2000,171,2,Not in Americas,Civil War: Central Control,B,1
675,1850,234,1,Not in Americas,Civil War: Local Issues,B,0
675.5,10000,321,1,Not in Americas,Civil War: Central Control,B,1
676,-9,105,1,Not in Americas,Other,B,0
676.5,-9,452,3,Not in Americas,Civil War: Local Issues,B,0
677,327225,1062,1,Not in Americas,Civil War: Central Control,B,1
680,17900,109,1,Not in Americas,Civil War: Central Control,B,1
681,1000,73,4,Not in Americas,Other,B,0
682,2900,118,1,Not in Americas,Other,B,1
683,500,321,2,Not in Americas,Civil War: Central Control,B,1
684,-9,203,1,Not in Americas,Other,B,0
684.5,-9,517,1,Not in Americas,Civil War: Central Control,B,1
685,-9,10,2,Not in Americas,Other,B,0
685.5,9688,277,1,Not in Americas,Civil War: Local Issues,B,1
686,7500,285,1,Not in Americas,Civil War: Local Issues,B,1
687,-9,1237,1,Not in Americas,Civil War: Local Issues,B,0
688,3000,707,1,Not in Americas,Other,B,0
689,900,556,1,Not in Americas,Civil War: Local Issues,B,1
690,2700,12,1,Not in Americas,Civil War: Central Control,B,1
691,500,587,1,Not in Americas,Civil War: Central Control,B,1
692,2500,7,2,Not in Americas,Civil War: Central Control,B,0
693,1000,6,1,Not in Americas,Civil War: Central Control,B,1
695,-9,157,1,Americas,Civil War: Central Control,B,0
696,1000,82,2,Americas,Civil War: Central Control,B,1
697,400,361,1,Not in Americas,Civil War: Central Control,B,1
697.3,-9,61,2,Not in Americas,Civil War: Central Control,B,0
697.6,2750,219,1,Not in Americas,Civil War: Local Issues,B,1
697.8,400,361,2,Not in Americas,Other,B,0
698,-9,149,4,Not in Americas,Other,B,0
700,-9,767,2,Not in Americas,Civil War: Central Control,B,1
701,35000,1039,3,Americas,Civil War: Central Control,B,1
702,-9,133,1,Not in Americas,Other,B,1
702.5,-9,343,4,Not in Americas,Civil War: Local Issues,B,1
703,-9,556,1,Not in Americas,Civil War: Local Issues,B,1
705,3750,334,1,Not in Americas,Civil War: Central Control,B,1
707,1600,62,1,Americas,Civil War: Central Control,B,0
707.3,-9,281,1,Not in Americas,Civil War: Central Control,B,0
707.5,62500,477,1,Not in Americas,Civil War: Central Control,B,0
708,-9,210,1,Not in Americas,Civil War: Local Issues,B,0
709,300,167,1,Not in Americas,Civil War: Local Issues,B,0
710,200000,2211,3,Not in Americas,Civil War: Central Control,B,0
711,-9,316,4,Not in Americas,Other,B,0
711.5,-9,669,2,Not in Americas,Other,B,0
712,2500,12,1,Americas,Civil War: Central Control,B,1
712.5,1400,184,1,Not in Americas,Civil War: Local Issues,B,1
713,1100,71,1,Americas,Civil War: Central Control,B,1
715,2200,86,1,Americas,Civil War: Central Control,B,1
715.6,-9,325,1,Not in Americas,Other,B,1
716,-9,86,1,Not in Americas,Civil War: Central Control,B,0
717,1051,15,1,Not in Americas,Civil War: Central Control,B,1
718,128100,972,2,Not in Americas,Civil War: Central Control,B,1
718.5,1000,398,1,Not in Americas,Civil War: Central Control,B,1
719,-9,1012,6,Not in Americas,Civil War: Central Control,B,0
719.6,-9,146,1,Not in Americas,Civil War: Local Issues,B,1
719.8,-9,340,3,Not in Americas,Civil War: Local Issues,B,1
720,1000,39,1,Not in Americas,Civil War: Central Control,B,1
721,8700,911,1,Not in Americas,Civil War: Local Issues,B,1
722,56600,954,1,Not in Americas,Civil War: Local Issues,B,1
723,30000,1674,1,Not in Americas,Civil War: Local Issues,B,1
723.5,600000,1662,2,Not in Americas,Civil War: Central Control,B,1
724,50000,1325,1,Not in Americas,Civil War: Central Control,B,1
726,1800,22,1,Not in Americas,Civil War: Local Issues,B,1
727,2500,164,1,Americas,Civil War: Central Control,B,1
728,-9,26,2,Not in Americas,Civil War: Central Control,B,1
730,100,36,2,Americas,Civil War: Central Control,B,1
730.5,2072,969,7,Not in Americas,Civil War: Central Control,B,0
731,19200,1954,1,Americas,Civil War: Central Control,B,1
732.5,2000,811,1,Not in Americas,Civil War: Central Control,B,0
733,9695,1474,1,Not in Americas,Civil War: Local Issues,B,1
734,-9,111,1,Not in Americas,Civil War: Local Issues,B,0
736,12000,4114,1,Not in Americas,Civil War: Central Control,B,0
737,-9,4,2,Americas,Civil War: Central Control,B,1
739,-9,2719,7,Americas,Civil War: Central Control,B,0
740,-9,95,2,Americas,Civil War: Central Control,B,1
740.5,-9,661,1,Not in Americas,Civil War: Local Issues,B,0
741,10000,1124,1,Not in Americas,Civil War: Local Issues,B,0
741.5,-9,331,7,Not in Americas,Civil War: Local Issues,B,0
742,2000,1257,1,Not in Americas,Civil War: Central Control,B,0
743,-9,86,6,Not in Americas,Civil War: Central Control,B,1
745,1000,219,2,Americas,Civil War: Central Control,B,0
746,1000,528,7,Not in Americas,Civil War: Central Control,B,0
747,-9,4,1,Not in Americas,Civil War: Central Control,B,1
748,41500,1820,4,Not in Americas,Civil War: Central Control,B,1
749,-9,2256,4,Not in Americas,Civil War: Central Control,B,1
750,-9,911,1,Not in Americas,Civil War: Local Issues,B,1
752,3500,815,6,Not in Americas,Civil War: Local Issues,B,1
753,-9,130,2,Not in Americas,Civil War: Central Control,B,1
755,-9,2693,1,Not in Americas,Civil War: Central Control,B,1
757,-9,286,3,Not in Americas,Civil War: Local Issues,B,1
758,-9,3049,3,Not in Americas,Civil War: Local Issues,B,1
760,900,205,1,Not in Americas,Civil War: Central Control,B,0
761,-9,716,1,Not in Americas,Civil War: Local Issues,B,1
762,4500,536,1,Not in Americas,Civil War: Central Control,B,1
765,1000,439,3,Not in Americas,Civil War: Local Issues,B,0
766,600,133,7,Americas,Civil War: Central Control,B,1
767,-9,9828,7,Not in Americas,Civil War: Central Control,B,0
768,-9,9,1,Not in Americas,Civil War: Local Issues,B,0
770,1400,538,7,Americas,Civil War: Central Control,B,0
771.5,-9,690,1,Not in Americas,Civil War: Local Issues,B,0
772,-9,236,4,Not in Americas,Other,B,1
775,15000,908,1,Not in Americas,Civil War: Local Issues,B,0
776,-9,361,1,Not in Americas,Civil War: Local Issues,B,0
776.3,3000,1172,1,Not in Americas,Civil War: Central Control,B,1
777,1000,447,3,Not in Americas,Civil War: Local Issues,B,0
778,-9,511,1,Not in Americas,Civil War: Central Control,B,1
780,1000,12,1,Not in Americas,Civil War: Central Control,B,0
781,900,303,1,Americas,Civil War: Central Control,B,0
782,15000,248,4,Not in Americas,Civil War: Local Issues,B,0
783,1937,87,1,Not in Americas,Civil War: Central Control,B,1
785,56000,1214,2,Not in Americas,Civil War: Central Control,B,1
786,20000,3349,7,Not in Americas,Civil War: Local Issues,B,0
787,700,631,7,Not in Americas,Civil War: Central Control,B,0
788,-9,959,6,Not in Americas,Other,B,0
789,750,27,1,Not in Americas,Civil War: Central Control,B,1
792,5300,1372,1,Not in Americas,Civil War: Local Issues,B,0
793,200,5,2,Americas,Civil War: Central Control,B,1
795,1200,777,6,Not in Americas,Civil War: Local Issues,B,0
797,2000,380,1,Not in Americas,Civil War: Local Issues,B,0
798,6000,1726,1,Not in Americas,Civil War: Local Issues,B,1
800,4000,655,1,Americas,Civil War: Central Control,B,1
801,-9,534,3,Not in Americas,Other,B,0
803,5000,1111,1,Not in Americas,Civil War: Local Issues,B,1
804,66600,5493,3,Not in Americas,Civil War: Central Control,B,1
804.5,10000,1317,2,Not in Americas,Civil War: Central Control,B,1
805,-9,382,4,Not in Americas,Civil War: Local Issues,B,1
805.3,700,4,1,Not in Americas,Civil War: Central Control,B,1
806,3200,1029,1,Not in Americas,Civil War: Local Issues,B,0
806.3,-9,566,1,Not in Americas,Civil War: Local Issues,B,1
806.8,2000,354,1,Not in Americas,Civil War: Central Control,B,1
807,1600,237,6,Not in Americas,Other,B,0
808,20000,984,1,Not in Americas,Civil War: Local Issues,B,1
809,200,2,2,Not in Americas,Civil War: Central Control,B,1
810,-9,34,1,Not in Americas,Civil War: Central Control,B,1
811,17500,1870,1,Americas,Civil War: Central Control,B,0
812,9000,591,4,Not in Americas,Civil War: Central Control,B,0
815,2000,310,2,Americas,Civil War: Central Control,B,1
815.5,500,87,2,Not in Americas,Civil War: Central Control,B,0
816,7000,1742,1,Not in Americas,Civil War: Central Control,B,0
817,14000,4427,3,Americas,Civil War: Central Control,B,0
820,1700,1376,2,Not in Americas,Civil War: Local Issues,B,1
823,1000,24,1,Not in Americas,Civil War: Local Issues,B,0
824,-9,4128,6,Not in Americas,Civil War: Central Control,B,1
825,-9,4135,1,Not in Americas,Civil War: Central Control,B,1
826,80000,3366,2,Not in Americas,Civil War: Local Issues,B,1
826.5,2000,26,1,Not in Americas,Civil War: Central Control,B,1
828,25250,2170,3,Americas,Civil War: Central Control,B,1
828.3,6000,1355,2,Not in Americas,Civil War: Central Control,B,1
829,10466,3525,1,Americas,Civil War: Central Control,B,1
833,-9,312,2,Not in Americas,Civil War: Central Control,B,0
834,-9,6811,3,Not in Americas,Civil War: Central Control,B,0
835,3000,1464,4,Not in Americas,Civil War: Local Issues,B,0
837,750,60,1,Not in Americas,Civil War: Local Issues,B,0
838,-9,585,7,Not in Americas,Civil War: Local Issues,B,1
840,-9,1304,1,Not in Americas,Civil War: Local Issues,B,0
842,-9,19,2,Not in Americas,Civil War: Central Control,B,0
843,5000,376,1,Not in Americas,Civil War: Central Control,B,1
845,9449,870,1,Not in Americas,Civil War: Central Control,B,1
845.5,6000,1081,1,Americas,Civil War: Central Control,B,0
846,-9,2287,6,Not in Americas,Other,B,0
848,-9,961,2,Not in Americas,Civil War: Central Control,B,1
849,23463,9688,5,Americas,Civil War: Central Control,B,1
850,-9,600,2,Not in Americas,Civil War: Central Control,B,0
851,-9,1140,2,Not in Americas,Civil War: Central Control,B,1
852,800,602,2,Not in Americas,Civil War: Central Control,B,1
853,6000,1440,1,Not in Americas,Civil War: Local Issues,B,0
854,-9,748,3,Not in Americas,Civil War: Central Control,B,1
856,-9,9,2,Not in Americas,Civil War: Central Control,B,1
857,-9,335,3,Not in Americas,Civil War: Central Control,B,0
858,-9,451,7,Not in Americas,Civil War: Local Issues,B,1
859,-9,3969,3,Not in Americas,Civil War: Local Issues,B,1
860,-9,304,7,Not in Americas,Civil War: Local Issues,B,0
862,-9,30,1,Not in Americas,Civil War: Central Control,B,0
862.1,-9,227,6,Not in Americas,Civil War: Local Issues,B,0
863,-9,1831,3,Not in Americas,Civil War: Central Control,B,1
864,-9,241,2,Not in Americas,Civil War: Local Issues,B,0
865,23238,3018,1,Not in Americas,Civil War: Local Issues,B,0
865.8,-9,2270,6,Not in Americas,Civil War: Central Control,B,0
866,-9,178,7,Not in Americas,Other,B,0
868,-9,151,6,Not in Americas,Other,B,0
871,-9,726,2,Not in Americas,Civil War: Central Control,B,1
872,3000,400,4,Not in Americas,Civil War: Local Issues,B,1
873,-9,187,3,Not in Americas,Civil War: Local Issues,B,0
874,18476,5041,7,Not in Americas,Civil War: Local Issues,B,0
874.5,-9,211,3,Not in Americas,Other,B,0
875,15200,3728,7,Not in Americas,Civil War: Central Control,B,1
876,-9,1852,3,Not in Americas,Civil War: Central Control,B,0
877,14737,1191,1,Not in Americas,Civil War: Local Issues,B,1
877.5,-9,3339,4,Not in Americas,Civil War: Central Control,B,0
878,3000,538,2,Not in Americas,Civil War: Local Issues,B,0
879,-9,1161,3,Not in Americas,Civil War: Central Control,B,0
880,-9,738,3,Not in Americas,Civil War: Central Control,B,1
881,-9,1886,1,Not in Americas,Civil War: Central Control,B,0
882,1750,116,6,Not in Americas,Other,B,1
883,-9,1710,7,Not in Americas,Civil War: Central Control,B,1
885,1774,137,1,Not in Americas,Civil War: Local Issues,B,0
886,-9,103,2,Not in Americas,Civil War: Central Control,B,0
887,-9,372,6,Not in Americas,Other,B,0
887.5,-9,180,6,Not in Americas,Other,B,0
888,6000,621,2,Not in Americas,Civil War: Local Issues,B,1
891,-9,181,1,Not in Americas,Civil War: Local Issues,B,0
893,-9,54,6,Not in Americas,Civil War: Local Issues,B,0
895,-9,218,2,Not in Americas,Civil War: Central Control,B,0
896,3000,584,1,Not in Americas,Civil War: Central Control,B,1
897,-9,130,2,Not in Americas,Civil War: Central Control,B,0
897.5,-9,43,6,Not in Americas,Other,B,0
898,-9,688,2,Not in Americas,Civil War: Central Control,B,1
900,800,384,4,Not in Americas,Civil War: Local Issues,B,0
902,-9,113,2,Not in Americas,Civil War: Central Control,B,0
905,-9,1576,3,Not in Americas,Civil War: Central Control,B,0
906,-9,794,7,Not in Americas,Civil War: Central Control,B,0
907,-9,1159,1,Not in Americas,Civil War: Central Control,B,0
908,-9,332,1,Not in Americas,Civil War: Central Control,B,1
910,2000,1104,3,Not in Americas,Other,B,1
912,-9,1848,3,Not in Americas,Civil War: Local Issues,B,1
913,800,79,7,Not in Americas,Civil War: Local Issues,B,1
915,3000,1497,1,Not in Americas,Civil War: Local Issues,B,0
916,1500,487,3,Not in Americas,Civil War: Local Issues,B,0
917,-9,247,6,Not in Americas,Civil War: Central Control,B,1
918,3000,961,3,Not in Americas,Civil War: Central Control,B,0
920,-9,104,1,Not in Americas,Civil War: Central Control,B,0
921,4000,1388,3,Not in Americas,Civil War: Central Control,B,1
922,-9,440,2,Not in Americas,Civil War: Central Control,B,0
925,-8,186,3,Not in Americas,Civil War: Central Control,B,0
926,600,159,6,Not in Americas,Civil War: Local Issues,B,0
927,-9,1309,7,Not in Americas,Civil War: Local Issues,B,0
932,1800,673,3,Not in Americas,Civil War: Local Issues,B,0
933,-9,182,6,Not in Americas,Other,B,1
935,700,289,1,Not in Americas,Civil War: Central Control,B,0
936,2655,721,7,Not in Americas,Civil War: Central Control,B,0
937,-9,422,7,Not in Americas,Civil War: Central Control,B,1
940,14250,1017,1,Not in Americas,Civil War: Local Issues,B,0
940.8,-9,1844,1,Not in Americas,Civil War: Central Control,B,1
941,1150,528,6,Not in Americas,Civil War: Central Control,B,1
942,31246,3059,5,Not in Americas,Civil War: Local Issues,B,1
971,2500,1354,4,Not in Americas,Civil War: Central Control,B,1
973,-9,51,2,Not in Americas,Civil War: Central Control,B,0
976,4500,243,2,Not in Americas,Civil War: Central Control,B,1
978,-9,1130,5,Not in Americas,Civil War: Central Control,B,0
979,50000,1645,5,Not in Americas,Civil War: Central Control,B,0
980,850,593,6,Not in Americas,Civil War: Local Issues,B,0
985,709,407,1,Not in Americas,Civil War: Local Issues,B,0
990,-9,106,2,Not in Americas,Civil War: Central Control,B,1
990.4,1600,955,5,Not in Americas,Civil War: Central Control,B,1
991,-9,737,5,Not in Americas,Civil War: Central Control,B,0
991.4,-9,721,5,Not in Americas,Civil War: Central Control,B,1
991.5,-9,140,4,Not in Americas,Other,B,0
992,4000,385,5,Not in Americas,Civil War: Central Control,B,0
992.5,-9,659,5,Not in Americas,Civil War: Central Control,B,0
993,2581,493,5,Not in Americas,Civil War: Local Issues,B,1
994,-9,570,5,Not in Americas,Civil War: Central Control,B,0
997,350,189,5,Not in Americas,Other,B,0
